dataset,method_config,family,benchmark,k_policy,seeds,mean_ari,std_ari,n_seeds,mean_seconds
151507,kmeans@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1825,0.0152,3,5.44
151507,kmeans@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2402,0.0447,3,6.2
151507,kmeans@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1976,0.0227,3,6.29
151507,spectral@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1383,0.0002,3,10.73
151507,spectral@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2002,0.0002,3,8.86
151507,spectral@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2339,0.0,3,6.82
151669,agglomerative,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1454,0.0,3,3.74
151669,birch,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1297,0.0,3,4.19
151669,bisecting_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1829,0.0017,3,3.58
151669,dbscan,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0,0.0,3,3.95
151669,gaussian_mixture,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1397,0.0142,3,4.18
151669,kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1656,0.0095,3,3.79
151669,mean_shift,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0102,0.0,3,10.59
151669,minibatch_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1722,0.0071,3,3.71
151669,optics,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0002,0.0,3,5.51
151669,spectral,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1679,0.0003,3,5.16
151669,spagcn (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.1368,0.0,1,14.57
151669,spagcn (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.1368,0.0,1,14.32
151669,spagcn (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.1368,0.0,1,15.1
151669,spagcn (oracle-K),sota,non_oracle_k_sota,oracle,42,0.2068,0.0,1,14.76
151669,stagate (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.116,0.0,1,39.46
151669,stagate (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.116,0.0,1,44.53
151669,stagate (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.116,0.0,1,44.49
151669,stagate (oracle-K),sota,non_oracle_k_sota,oracle,42,0.1459,0.0,1,44.39
151669,agglomerative@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0442,0.0,3,7.19
151669,agglomerative@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1454,0.0,3,7.72
151669,agglomerative@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1895,0.0,3,8.09
151669,birch@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0303,0.0,3,7.05
151669,birch@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1297,0.0,3,7.98
151669,birch@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.187,0.0,3,7.8
151669,gaussian_mixture@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0985,0.0079,3,7.56
151669,gaussian_mixture@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1397,0.0142,3,8.23
151669,gaussian_mixture@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1692,0.0071,3,8.14
151669,kmeans@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1356,0.0061,3,7.1
151669,kmeans@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1656,0.0095,3,7.68
151669,kmeans@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1808,0.0022,3,7.68
151669,spectral@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1149,0.0002,3,10.44
151669,spectral@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1679,0.0003,3,10.1
151669,spectral@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1787,0.0,3,8.0
151670,agglomerative,sklearn,5x10_dlpfc,oracle,"42,1,2",0.28,0.0,3,3.4
151670,birch,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1877,0.0,3,3.55
151670,bisecting_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1932,0.0343,3,3.27
151670,dbscan,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0,0.0,3,3.3
151670,gaussian_mixture,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1778,0.0298,3,3.45
151670,kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2215,0.0509,3,3.39
151670,mean_shift,sklearn,5x10_dlpfc,oracle,"42,1,2",-0.0206,0.0,3,9.93
